Usecase_ID,Architect_Tagging,Agent_Observation,Capability_Impact,Cross_Swimlane_Impact,Possible_Concern,Suggested_Architect_Question,Confidence_Level
S1UC01,"Giseh, Data | Capability",Aligned: replay implies Runtime Platforms + Governed Data lineage; SPDM-triggered legacy workflow fits orchestration model.,Runtime catalog; SPDM staging; lineage,"S1,S3,S4",Boundary between SPDM workflow ownership and GoF infrastructure for legacy stacks,Should GoF orchestrate environment reconstruction when SPDM triggers legacy replay?,Medium
S1UC02,Data | Interface,Reasonable Data-epic focus; GoF should still enforce metadata profiles at platform boundaries.,Metadata schema enforcement (integrate with SPDM),"S1,S6",Potential overlap if schema administration duplicates SPDM governance,"Is S1UC02 enterprise data epic only, or also GoF tag-enforcement contract?",Medium
S1UC03,"Data, SPDM | Interface",Strong alignment: immutable references and cache are core Governed Data; interface strategy comment is sound.,Data orchestration; proximity cache; SPDM interface,"S1,S3,S5,S6,S7",SPDM–compute–data triangle needs explicit integration contract,Who owns reference ID issuance in the integration strategy?,High
S1UC04,"Data, SPDM | Interface",Data/Interface tagging with Giseh-not-in-UC is consistent if MDAC lives in data layer; GoF likely still enforces at runtime boundary.,MDAC policy enforcement,"S1,S2,S7",Boundary may need validation: enforce in GoF vs storage product only,Will MDAC be a shared enterprise service or embedded in GoF platform?,Medium
S1UC05,"Giseh, SPDM, DDMS: Workflow | Interface",Aligned: GoF as compute orchestrated by SPDM matches hub-and-spoke target architecture.,SPDM staging orchestration; batch/HPC execution,"S1,S4","Manual ARAS linkage today is automation gap, not scope conflict",Minimum SPDM–GoF stage/publish contract for Phase 1?,High
S1UC06,Data | Interface,Reasonable Data-epic placement; self-service provisioning templates map to Governed Data domain.,Governed provisioning,"S1,S7",NAS mechanics vs business-facing templates,Is provisioning a GoF template layer or pure storage operations?,Medium
S1UC07,"SPDM, Giseh | Capability",Capability on Giseh aligns with Engineering Experience despite VDI-parity doubt in comment.,Unified session; SSO federation,"S1,S2,S4,S7","VDI-desktop parity is transport/UX, not platform core",Is session broker in GoF scope while VDI fleet stays IT-owned?,High
S1UC08,OUT OF SCOPE | Interface | Out of scope (architect),Out-of-scope egress tagging aligns with security-gated pattern; Federation/Experience apply when approved.,External data ingress (gated),"S1,S7",EPOT/security gate is external,Standard GoF pattern after security approves external repository?,High
S2UC01,Giseh | Capability,Aligned with Software Delivery + dev runtime; Windows-accessible dev environment matches customer alignment.,Dev environment service,"S2,S3,S4",Dev/prod isolation for capacity,Documented dev environment SKU separate from prod HPC?,High
S2UC02,Giseh | Capability,Sandbox aligns with Runtime Platforms validation; Giseh-like business sandbox is consistent.,COTS/solver sandbox,"S2,S3,S7",Promotion path from sandbox to prod must stay gated,One shared sandbox or domain instances?,High
S2UC03,Giseh | Capability,Aligned: remote dev/notebook for ISAMI+ maps to dedicated dev runtime + Experience.,Dev environment; notebook/remote IDE,"S2,S3,S4,S6",Heavy compile/debug must not block prod HPC,Standard high-RAM dev pool for certification toolchains?,High
S2UC04,Giseh | Capability,Self-service application lifecycle capability aligns with Software Delivery domain.,DevSecOps templates; self-service deploy,"S2,S4",Pipeline duration is operational concern,Mandatory template for business-owned deploy?,High
S2UC05,Application Life Cycle | Capability,Capability reasonable; GDPR slice may limit telemetry—observability cross-cut still relevant at abstract level.,Engineering observability (application slice),"S2,S4",Works-council constraints on usage metrics,Which developer metrics are in-platform vs excluded?,Medium
S2UC06,Giseh | Capability,Aligned: deploy geo/EC control is MDAC on artifacts—same model as S1UC04/S2UC08.,MDAC on deployment,"S1,S2,S7",CDTNG vs container dual paths,Single enforcement point for deploy and data?,High
S2UC07,Giseh | Capability,Aligned with community BOT delivery; Sonar binding is quality gate in DevSecOps.,DevSecOps; BOT delivery,"S2,S4,S3",BOT/script proliferation needs guardrails,Required pipeline template for engineer-authored Python?,Medium
S2UC08,"Data, Giseh | Capability",Codeshare as metadata-driven access control matches Governed Data—architect comment is consistent.,MDAC on codeshare distribution,"S1,S2",Policy must cover replication blocking (Cedre case),Same MDAC engine for files and codeshare bundles?,High
S2UC09,Giseh | Capability,Sandbox for COTS managers aligns with S2UC02 pattern.,COTS sandbox,"S2,S3",Same as solver validation sandbox?,Unified sandbox service for S2UC02 and S2UC09?,High
S2UC10,Giseh | Capability,Packaging/self-service deploy aligns with Delivery domain.,Application packaging,"S2,S3,S4",Transfer time to environments,OCI-first or interim conda coexistence?,Medium
S2UC11,Giseh | Capability,Remote HPC dev environment aligns with isolated dev runtime class (CODA)—consistent with synthesis.,Dedicated dev compile/debug runtime,"S2,S3,S4",Must differ from prod HPC only by policy/quota,Central CODA dev pool vs community-funded?,High
S3UC01,OUT OF SCOPE | Out Of Scope  | Out of scope (architect),Reasonable out-of-scope for VDI-batch anti-pattern; S3UC02 covers batch orchestration path.,Batch via related UC,"S3,S4",BOT path should stay explicit,Confirm S3UC02 as primary SIMPA batch entry?,High
S3UC02,Giseh | Capability,Aligned: VDI-resident orchestrator submitting batch maps to Automation invoking Execution Fabric.,Batch campaigns; orchestration hook,"S3,S4",Prefer server-side orchestration over VDI driver,Move campaign driver to platform workflow API?,High
S3UC03,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC04,OUT OF SCOPE | Out Of Scope  | Out of scope (architect),Out-of-scope reasonable for application-specific integration; platform should expose batch API.,Batch API contract (minimal),"S3,S2",Hidden publish/lineage needs possible,Mandatory governed publish despite UC out of scope?,Low
S3UC05,"Giseh, Data | Capability",Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC06,Giseh | Interface,"Giseh epic tagging consistent with platform scope for execution, workspace, and delivery.",Execution / Experience / Delivery,Multiple,Verify domain app logic stays external,Which concerns are platform vs application?,Medium
S3UC07,"Giseh, DMU: CATIA/3DX | Interface","Giseh epic tagging consistent with platform scope for execution, workspace, and delivery.",Execution / Experience / Delivery,Multiple,Verify domain app logic stays external,Which concerns are platform vs application?,Medium
S3UC08,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC09,Giseh | Interface,"Giseh epic tagging consistent with platform scope for execution, workspace, and delivery.",Execution / Experience / Delivery,Multiple,Verify domain app logic stays external,Which concerns are platform vs application?,Medium
S3UC10,OUT OF SCOPE | Capability | Out of scope (architect),AOG/SLA out-of-scope is reasonable for platform epic; still informs critical-run thinking.,Availability patterns (informational),"S3,S4",Business may expect ops response without GoF SLA,Any critical-run execution class without full AOG scope?,Medium
S3UC11,OUT OF SCOPE | Capability | Out of scope (architect),AOG/SLA out-of-scope is reasonable for platform epic; still informs critical-run thinking.,Availability patterns (informational),"S3,S4",Business may expect ops response without GoF SLA,Any critical-run execution class without full AOG scope?,Medium
S3UC12,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC13,OUT OF SCOPE | Capability | Out of scope (architect),AOG/SLA out-of-scope is reasonable for platform epic; still informs critical-run thinking.,Availability patterns (informational),"S3,S4",Business may expect ops response without GoF SLA,Any critical-run execution class without full AOG scope?,Medium
S3UC14,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC15,Giseh | Capability,Nuanced: HPC capacity out of NG-HPC epic is fair; data-transfer pain still touches Governed Data.,Data staging abstraction (pain point),"S1,S3,S7",Partial platform relevance despite HPC out of scope,Does GoF own data-staging API without owning HPC fleet?,Medium
S3UC16,Giseh | Out Of Scope ,Out-of-scope reasonable for application-specific integration; platform should expose batch API.,Batch API contract (minimal),"S3,S2",Hidden publish/lineage needs possible,Mandatory governed publish despite UC out of scope?,Low
S3UC17,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC18,OUT OF SCOPE | Out Of Scope  | Out of scope (architect),Architect pragmatism on 30y replay is noted; synthesis still treats replay as long-term architectural goal.,Runtime replay (long-term),"S1,S3",Expectation vs S1UC01 criticality,Is replay phased commitment or separate transdisciplinary program?,Low
S3UC19,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC20,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC21,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC22,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC23,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC24,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC25,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC26,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC27,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC28,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC29,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC30,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC31,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC32,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S3UC33,Giseh | Capability,Aligned: pre/post VDI + batch/HPC is standard Execution Fabric consumption.,Interactive workspace; batch/HPC,"S1,S3,S4,S7",Slow VDI startup drives Windows workaround,Session pooling vs application startup optimization priority?,High
S4UC01,DDMS: Workflow | Capability,Strong alignment: Jenkins submits campaigns to batch—matches Automation over Execution layering.,CI integration; elastic agents to batch,"S4,S2,S3",Jenkins must not be batch system itself,Standard pattern: CI worker calls GoF submit API?,High
S4UC02,OUT OF SCOPE | Out Of Scope  | Out of scope (architect),Out-of-scope tag reflects current Jenkins design; architect recommendation to use batch is aligned with platform.,Regression via batch (target pattern),"S4,S2,S3",Epic scope may understate needed batch contract,GoF batch API although UC tagged out of scope?,High
S4UC03,Giseh | Capability,In-scope capability appropriate; full review warranted—eAction-critical nested workflow.,Workflow automation; nested batch; SPDM,"S4,S1,S3,S5",Manual SDP/ARAS interfaces,Priority automation for SiMM–ISAMI+ chain?,High
S4UC04,DDMS: Workflow | Interface,DDMS:Workflow interface fits Engineering Automation; design-from-any-interface is forward-looking.,Workflow design affordance,"S4,S5",Composition with Eve/Jenkins,Central workflow design service vs federated tools?,Medium
S4UC05,"DDMS: Workflow, Giseh | Interface",Workflow execution without mandatory VDI aligns with server-side Automation domain vision.,Workflow run state; SPDM interfaces,"S4,S1,S3",Push notifications and run lineage needed,Headless workflow runner as platform service?,High
S4UC06,DDMS: Workflow | Interface,MDAO workflow interface aligns with adapter layer—not owning Gemseo graphs.,MDAO workflow adapter,"S4,S5,S1",Indeterminate graph duration,Standard MDAO worker contract on GoF?,Medium
S4UC07,DDMS: Workflow | Interface,Windows/Giseh split workflow out of Giseh epic is reasonable; acoustic program still needs integration hooks.,Domain workflow (external); partial integration,"S4,S3",eAction acoustic timeline risk,GoF integration-only role for ANANAX/ROOTS?,Medium
S4UC08,DDMS: Workflow | Interface,Eve out-of-scope defensible; REST exposure of SC resources is aligned integration stance.,API integration to Execution/Data,"S4,S1,S3",Eve qtrees without MDAC linkage,Mandatory GoF data/policy APIs for Eve consumers?,High
S5UC01,DDMS: Workflow | Interface,Interface tagging reflects API/placement mismatch—aligns with Execution Fabric API-first direction.,MDAO adapter; API compute launch,"S5,S4,S7",Worker forwarding as transitional pattern,Orchestrators call GoF placement API directly?,High
S5UC02,"DDMS: Workflow, DMU: CATIA/3DX | Capability",Capability with HPC-not-in-scope is consistent; may need dedicated MDO worker pattern.,MDO worker placement,"S5,S4",Pool vs batch latency trade-off,MDO execution class on platform catalog?,Medium
S5UC03,Giseh | Capability,Optimization robustness requirement aligns with Execution + workflow retry policies.,Batch optimization; resilience,"S3,S5,S4",Solver abort breaks optimizer,Platform retry policies for MDO steps?,Medium
S5UC04,Giseh | Capability,CATIA-in-loop workflow is domain pattern; GoF stages IO and runs batch.,Workflow; batch; CAD integration,"S5,S3,S4",PODShaper vs CATIA loop choice,Geometry adjustment boundary with PLM?,Medium
S5UC05,Giseh | Capability,Large DoE aligns with campaign execution + data proximity.,DOE campaigns; observability,"S5,S1,S3",Management tooling for sweeps,Platform run ID across DOE jobs?,High
S5UC06,DDMS: Workflow | Capability,UQ/DoE capacity need aligns with batch fabric; R&T capacity pain is operational.,UQ ensembles; batch,"S5,S3",Capacity not architecture dispute,Burst policy for R&T campaigns?,Medium
S5UC07,DDMS: Workflow | Interface,GEMSEO/TACTIC as orchestrator interface is reasonable.,MDAO integration,"S5,S4,S1",Windows+Linux worker mix,Standard GEMSEO worker hosting contract?,Medium
S6UC01,ML Platform | Interface,Outside SC infra today—interface tagging fair; synthesis expects governed hybrid bridge.,Hybrid data bridge; publication hooks,"S6,S1,S4",Split-brain AWS/on-prem,Minimum governed path for flight-data surrogates?,Medium
S6UC02,ML Platform | Interface,DoE+ML cross-cut aligns with Automation+Execution+Data publication.,ML workflows; GPU classes; SPDM hooks,"S4,S5,S6,S1",ModelOps vs GoF routing,Classification matrix for train location?,High
S6UC03,ML Platform | Interface,ML platform assumption with Giseh-hosted data is OK if references governed.,GPU tiers; data references,"S1,S6",Storage ≠ compute ownership,On-prem GPU exploration for confidential data?,Medium
S6UC04,OUT OF SCOPE | Capability | Out of scope (architect),"Epic out-of-scope vs OAD need: federation placement may still be roadmap—align programs, not contradictory.",Compliance-aware placement,"S6,S7,S1,S3",Cross-program ownership,Data-aware scheduling: NG-HPC vs GoF policy layer?,Medium
S6UC05,Giseh | Interface,TBC comment is valid workshop item; surrogate train location affects integration design.,Surrogate train/infer; hybrid ML,"S6,S3,S4",Giseh vs ModelOps split,Where are ISAMI+ surrogates trained and published?,Medium
S6UC06,ML Platform | Interface,ML Platform targeting is reasonable; sensitive data may still need on-prem GoF path.,ML platform integration; optional GoF GPU,"S6,S1",Active learning not in ModelOps,GoF path for sensitive CV when ModelOps insufficient?,Medium
S6UC07,ML Platform | Out Of Scope ,Out-of-scope ML platform tagging is consistent; batch interface mention is integration-only.,ML platform (external),"S6,S3",Transformer VRAM needs,Any GoF GPU class required for hybrid workflows?,Low
S6UC08,ML Platform | Out Of Scope ,ML Platform-only scope is reasonable for fine-tuning estate.,ML platform (external),"S6,S1",Sensitive docs on-prem constraint,GoF proxy path for controlled fine-tuning?,Low
S6UC09,ML Platform | Out Of Scope ,Knowledge graph on ML platform—GoF integrates rather than owns semantic layer.,Semantic layer (integrate),"S6,S1",Enterprise ontology ownership,GoF consumption of KG for routing/metadata only?,Low
S6UC10,Giseh | Interface,In-scope Giseh with MCP/agentic surface is emerging; governance clarification appropriately flagged.,Agent tool gateway,"S6,S2,S7",DMZ/EC for agents,GoF-hosted MCP in roadmap or pilot?,Medium
S6UC11,"Giseh, ML Platform | Interface",Jupyter-on-GoF bridging ModelOps aligns with Experience; services-vs-GUI debate is valid.,Managed notebook service,"S6,S2,S3",Bidirectional ModelOps link,Platform-managed Jupyter vs VDI-resident?,Medium
S6UC12,HMF | Out Of Scope ,Out-of-scope from Windows trigger is fair; batch interface still relevant.,Batch interface (minimal),"S6,S3",FMU path mostly external,Any governed batch step requiring lineage?,Low
S7UC01,Giseh | Capability,Aligned capability; Windows pre/post often symptom of VDI performance.,Collaborative execution; data placement,"S3,S7,S1",Overlaps S3UC05 thematically,Consolidate collaborative CFD NFRs?,High
S7UC02,DDMS: Workflow | Interface,Workflow orchestrator interface aligns with S5UC01 API placement theme.,MDAO orchestration integration,"S5,S7,S4",Grid vs batch semantics,Same compute API for Design Manager workers?,Medium
S7UC03,OUT OF SCOPE | Out of scope (architect),Co-sim out of epic with Safran project is fair; Federation domain still defines gateway pattern.,Co-simulation gateway (related program),"S7,S5,S3",Not in GoF epic near-term,Standard IP-preserving co-sim contract on roadmap?,Medium
S7UC04,OUT OF SCOPE | Out of scope (architect),"Grid computing out of epic is understandable; informs Federation long-term, not near GoF delivery.",Global burst (roadmap),"S7,S3,S6",Business pain on saturation remains,Later federation vs never on GoF?,Low
S7UC05,OUT OF SCOPE | Out of scope (architect),Cross-BU out of epic is pragmatic; MDAC/contract dimensions still touch Governed Data+Federation.,Multi-entity policy (roadmap),"S7,S1,S2",Cloudstack transnational note,Contract-fed policy in GoF when program resumes?,Low
S7UC06,Giseh,Critical EE UC may need GoF slices despite other S7 out-of-scope tags—worth explicit decision.,EE access; MDAC; onboarding,"S7,S1,S2",Trans-entity decision dependency,Is EE master-data access Phase 1 GoF?,Medium
S7UC07,OUT OF SCOPE | Out of scope (architect),License management out of epic aligns with integrate-only license check on Execution.,License pre-check integration,"S3,S7,S2",Procurement remains business,GoF license-aware placement without owning DPUL?,Medium
S7UC08,OUT OF SCOPE | Out of scope (architect),Global unified environment out of GoF epic matches substrate-not-workplace synthesis.,Enterprise program (external),S7,Naming vs GoF brand,S7UC08 separate program consuming GoF APIs?,High
S7UC09,OUT OF SCOPE | Out of scope (architect),External git out-of-scope aligns with security; gated egress pattern when approved.,Partner dev egress (gated),"S7,S2",EPOT required,Trusted-partner egress template?,High
